"Name","Path","Scope","Members"
"Finance GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Finance Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Finance People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Finance Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Finance Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Finance Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Finance AD Delegates"
"Human Resources AD Delegates","OU=Human Resources,OU=Groups,DC=contoso,DC=com",1,""
"Human Resources Servers Local Administrators","OU=Human Resources,OU=Groups,DC=contoso,DC=com",1,""
"Human Resources Share Modify","OU=Human Resources,OU=Groups,DC=contoso,DC=com",1,""
"Human Resources Share Read","OU=Human Resources,OU=Groups,DC=contoso,DC=com",1,""
"Human Resources Workstations Local Administrators","OU=Human Resources,OU=Groups,DC=contoso,DC=com",1,""
"Human Resources GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"Human Resources Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"Human Resources People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"Human Resources Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"Human Resources Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"Human Resources Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Human Resources AD Delegates"
"IT AD Delegates","OU=IT,OU=Groups,DC=contoso,DC=com",1,""
"IT Servers Local Administrators","OU=IT,OU=Groups,DC=contoso,DC=com",1,""
"IT Share Modify","OU=IT,OU=Groups,DC=contoso,DC=com",1,""
"IT Share Read","OU=IT,OU=Groups,DC=contoso,DC=com",1,""
"IT Workstations Local Administrators","OU=IT,OU=Groups,DC=contoso,DC=com",1,""
"IT GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"IT Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"IT People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"IT Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"IT Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"IT Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"Marketing AD Delegates","OU=Marketing,OU=Groups,DC=contoso,DC=com",1,""
"Marketing Servers Local Administrators","OU=Marketing,OU=Groups,DC=contoso,DC=com",1,""
"Marketing Share Modify","OU=Marketing,OU=Groups,DC=contoso,DC=com",1,""
"Marketing Share Read","OU=Marketing,OU=Groups,DC=contoso,DC=com",1,""
"Marketing Workstations Local Administrators","OU=Marketing,OU=Groups,DC=contoso,DC=com",1,""
"Marketing GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Marketing Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Marketing People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Marketing Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Marketing Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Marketing Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Marketing AD Delegates"
"Operations AD Delegates","OU=Operations,OU=Groups,DC=contoso,DC=com",1,""
"Operations Servers Local Administrators","OU=Operations,OU=Groups,DC=contoso,DC=com",1,""
"Operations Share Modify","OU=Operations,OU=Groups,DC=contoso,DC=com",1,""
"Operations Share Read","OU=Operations,OU=Groups,DC=contoso,DC=com",1,""
"Operations Workstations Local Administrators","OU=Operations,OU=Groups,DC=contoso,DC=com",1,""
"Operations GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"Operations Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"Operations People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"Operations Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"Operations Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"Operations Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Operations AD Delegates"
"All DFS Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Servers Local Administrators","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Shares Full Control","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
"All Workstations Local Administrators","OU=Domain Groups,DC=contoso,DC=com",1,"IT AD Delegates"
